epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.0704,1.42742,3.91479,1.40622,0.02019,0.30127,0.09742,0.06439,1.29441,4.0419,1.24404,0.0001375,0.0001375,0.0001375
2,109.093,1.36082,3.16078,1.34067,0.97412,0.05562,0.14101,0.08908,1.36638,3.28025,1.25442,0.000278466,0.000278466,0.000278466
3,162.731,1.38476,2.47467,1.33098,0.8902,0.12952,0.17419,0.11086,1.33672,3.01226,1.25866,0.000416585,0.000416585,0.000416585
4,217.058,1.29057,2.15163,1.29476,0.75376,0.17572,0.19249,0.12819,1.24723,2.28398,1.2363,0.000551858,0.000551858,0.000551858
5,270.388,1.30001,2.03366,1.3048,0.79348,0.19788,0.21469,0.13956,1.31262,2.14847,1.30702,0.00060025,0.00060025,0.00060025
6,323.679,1.23003,1.87323,1.28375,0.68596,0.3494,0.29108,0.17963,1.25798,1.86913,1.28148,0.000594062,0.000594062,0.000594062
7,377.325,1.23885,1.72589,1.26705,0.78873,0.29866,0.31172,0.1865,1.26645,1.89648,1.2788,0.000587875,0.000587875,0.000587875
8,431.187,1.19097,1.67053,1.24227,0.73964,0.27035,0.31174,0.19736,1.25565,1.76103,1.26985,0.000581687,0.000581687,0.000581687
9,484.51,1.16338,1.57866,1.23762,0.77649,0.3305,0.35579,0.21568,1.2894,1.67437,1.28357,0.0005755,0.0005755,0.0005755
10,538.534,1.19741,1.53477,1.2244,0.73813,0.34418,0.38489,0.24964,1.19439,1.57018,1.21299,0.000569313,0.000569313,0.000569313
11,592.108,1.14044,1.46025,1.21239,0.8102,0.35836,0.41132,0.27586,1.21992,1.61914,1.21024,0.000563125,0.000563125,0.000563125
12,645.654,1.11821,1.42986,1.20492,0.74546,0.40874,0.42659,0.27195,1.19015,1.52064,1.19968,0.000556938,0.000556938,0.000556938
13,699.726,1.12479,1.40967,1.21984,0.81887,0.38424,0.43698,0.31702,1.13378,1.44667,1.1954,0.00055075,0.00055075,0.00055075
14,753.35,1.14192,1.38967,1.21625,0.652,0.4316,0.44502,0.29003,1.12802,1.40869,1.17239,0.000544563,0.000544563,0.000544563
15,807.054,1.07942,1.34262,1.18336,0.79781,0.41216,0.45796,0.3059,1.11347,1.37058,1.17668,0.000538375,0.000538375,0.000538375
16,860.565,1.0224,1.26204,1.14844,0.82566,0.42721,0.55417,0.32974,1.13778,1.36683,1.17163,0.000532187,0.000532187,0.000532187
17,913.853,1.07097,1.26735,1.16671,0.85791,0.40678,0.50801,0.33636,1.1123,1.36584,1.15903,0.000526,0.000526,0.000526
18,967.575,1.07358,1.28253,1.17255,0.86813,0.40725,0.47728,0.32702,1.09377,1.34851,1.1594,0.000519812,0.000519812,0.000519812
19,1021.89,1.04536,1.2431,1.14016,0.86717,0.43238,0.47696,0.33651,1.09144,1.32259,1.15674,0.000513625,0.000513625,0.000513625
20,1075.86,1.01407,1.20005,1.13071,0.82206,0.45846,0.50637,0.35159,1.11145,1.282,1.15165,0.000507438,0.000507438,0.000507438
21,1130.02,1.03322,1.23011,1.15209,0.80202,0.42508,0.57061,0.34096,1.0985,1.34142,1.15832,0.00050125,0.00050125,0.00050125
22,1183.75,1.0074,1.1425,1.12702,0.8607,0.40883,0.51011,0.33248,1.12835,1.34759,1.16756,0.000495063,0.000495063,0.000495063
23,1237.29,1.00507,1.17209,1.13422,0.88077,0.42039,0.53092,0.34925,1.09065,1.27782,1.16542,0.000488875,0.000488875,0.000488875
24,1290.93,1.02449,1.11589,1.13109,0.88643,0.46062,0.55538,0.37234,1.11066,1.22953,1.14863,0.000482687,0.000482687,0.000482687
25,1344.58,1.0015,1.12589,1.13801,0.87448,0.47448,0.6807,0.40539,1.0897,1.19625,1.1372,0.0004765,0.0004765,0.0004765
26,1397.97,1.02936,1.14685,1.15369,0.88671,0.45773,0.71088,0.47818,1.03948,1.19817,1.11915,0.000470312,0.000470312,0.000470312
27,1451.29,0.97885,1.09888,1.11461,0.87289,0.4738,0.70851,0.46903,1.10123,1.26046,1.13614,0.000464125,0.000464125,0.000464125
28,1504.82,0.99522,1.10709,1.10687,0.77505,0.4704,0.71552,0.47954,1.07656,1.21172,1.11107,0.000457938,0.000457938,0.000457938
29,1558.31,0.96897,1.0513,1.10652,0.78361,0.48842,0.73189,0.51713,1.01155,1.14562,1.0966,0.00045175,0.00045175,0.00045175
30,1612.08,0.96423,1.08423,1.09951,0.67479,0.61916,0.73481,0.50365,1.04636,1.15309,1.11125,0.000445562,0.000445562,0.000445562
31,1665.53,0.93073,1.03294,1.09324,0.62367,0.7252,0.72685,0.49486,1.02816,1.15492,1.10773,0.000439375,0.000439375,0.000439375
32,1718.77,0.94919,1.06184,1.10338,0.5954,0.73028,0.72867,0.50164,1.02222,1.12915,1.09591,0.000433187,0.000433187,0.000433187
33,1771.85,0.92984,1.01921,1.08319,0.76949,0.57023,0.73889,0.50639,1.01997,1.0943,1.09792,0.000427,0.000427,0.000427
