epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3032,1.58473,4.05756,1.42029,0.01414,0.35536,0.06461,0.04006,1.48436,3.87774,1.2416,0.000203373,0.000203373,0.000203373
2,49.2182,1.5801,3.06368,1.32707,0.70692,0.12747,0.12789,0.06979,1.62656,2.88781,1.31445,0.00040763,0.00040763,0.00040763
3,72.7038,1.55061,2.39481,1.32116,0.76122,0.19617,0.20087,0.1137,1.53491,2.28284,1.31765,0.000607763,0.000607763,0.000607763
4,96.3694,1.51812,2.11658,1.29581,0.67107,0.23389,0.24208,0.1391,1.4735,2.2229,1.27294,0.000606437,0.000606437,0.000606437
5,119.996,1.45553,1.90627,1.27854,0.66174,0.24609,0.25532,0.15139,1.40023,1.86406,1.2338,0.00060025,0.00060025,0.00060025
6,143.293,1.42977,1.84651,1.2725,0.64941,0.28421,0.27432,0.16429,1.37703,1.7224,1.22446,0.000594062,0.000594062,0.000594062
7,166.807,1.45431,1.7729,1.30714,0.80673,0.28307,0.31822,0.19134,1.4864,1.80975,1.27293,0.000587875,0.000587875,0.000587875
8,190.242,1.40598,1.66982,1.24182,0.76696,0.3204,0.33659,0.20305,1.37291,1.65496,1.22864,0.000581687,0.000581687,0.000581687
9,213.453,1.3763,1.60941,1.24287,0.77004,0.33308,0.35657,0.20352,1.39799,1.66362,1.25532,0.0005755,0.0005755,0.0005755
10,236.811,1.34073,1.57415,1.22191,0.76989,0.3347,0.36484,0.21862,1.34011,1.56035,1.21155,0.000569313,0.000569313,0.000569313
11,260.309,1.37195,1.5644,1.24617,0.78831,0.35985,0.36201,0.20728,1.39232,1.46641,1.22348,0.000563125,0.000563125,0.000563125
12,283.907,1.3509,1.53648,1.21802,0.75162,0.34994,0.37283,0.22709,1.3318,1.43749,1.20297,0.000556938,0.000556938,0.000556938
13,307.19,1.29052,1.43824,1.21008,0.72698,0.33417,0.36814,0.21916,1.38389,1.47211,1.25666,0.00055075,0.00055075,0.00055075
14,330.925,1.32638,1.41784,1.22103,0.73218,0.36601,0.41015,0.2522,1.29851,1.37697,1.19282,0.000544563,0.000544563,0.000544563
15,355.648,1.30215,1.43241,1.19369,0.7178,0.38113,0.42014,0.26699,1.31809,1.38136,1.16422,0.000538375,0.000538375,0.000538375
16,379.161,1.29765,1.42061,1.19263,0.80092,0.35872,0.42642,0.27614,1.30122,1.34662,1.16831,0.000532187,0.000532187,0.000532187
17,403.079,1.24502,1.32835,1.17764,0.78889,0.34895,0.41013,0.26381,1.26835,1.27731,1.16241,0.000526,0.000526,0.000526
18,426.892,1.27228,1.3562,1.19248,0.78446,0.38342,0.44054,0.28452,1.25878,1.26548,1.1613,0.000519812,0.000519812,0.000519812
19,450.79,1.25031,1.32853,1.17659,0.79302,0.37082,0.41651,0.27211,1.19397,1.23299,1.13917,0.000513625,0.000513625,0.000513625
20,474.214,1.21015,1.28514,1.15661,0.59469,0.45516,0.44027,0.28993,1.25441,1.27531,1.17971,0.000507438,0.000507438,0.000507438
21,497.699,1.19566,1.25135,1.15552,0.60739,0.4663,0.44306,0.28733,1.22022,1.21248,1.15805,0.00050125,0.00050125,0.00050125
22,521.076,1.21159,1.27679,1.15933,0.7433,0.41368,0.45379,0.30806,1.21789,1.22343,1.14418,0.000495063,0.000495063,0.000495063
23,544.433,1.20692,1.25757,1.15732,0.75753,0.44234,0.46496,0.32211,1.21436,1.23045,1.1559,0.000488875,0.000488875,0.000488875
24,567.688,1.16977,1.20233,1.13897,0.72907,0.44535,0.45778,0.31952,1.18226,1.21601,1.13706,0.000482687,0.000482687,0.000482687
25,590.93,1.16639,1.18704,1.15758,0.73989,0.43906,0.46736,0.32184,1.20773,1.16941,1.14435,0.0004765,0.0004765,0.0004765
26,614.296,1.17574,1.20011,1.1481,0.81078,0.40244,0.4839,0.32597,1.18685,1.20017,1.13659,0.000470312,0.000470312,0.000470312
27,637.816,1.17559,1.18873,1.13308,0.75032,0.43008,0.49691,0.32912,1.19056,1.23902,1.1447,0.000464125,0.000464125,0.000464125
28,661.153,1.1312,1.1839,1.12533,0.82794,0.42616,0.50171,0.33021,1.20483,1.19108,1.1319,0.000457938,0.000457938,0.000457938
29,684.511,1.1393,1.17686,1.1234,0.77939,0.44484,0.50511,0.33528,1.19806,1.15514,1.15601,0.00045175,0.00045175,0.00045175
30,707.872,1.13901,1.13069,1.12158,0.7885,0.4362,0.50759,0.33044,1.23722,1.15654,1.1717,0.000445562,0.000445562,0.000445562
31,731.039,1.1129,1.11303,1.12198,0.74812,0.43141,0.50237,0.33548,1.20753,1.17038,1.15552,0.000439375,0.000439375,0.000439375
32,754.476,1.12877,1.1409,1.10722,0.82956,0.4393,0.5061,0.33702,1.18082,1.1271,1.11885,0.000433187,0.000433187,0.000433187
33,777.709,1.11058,1.13344,1.11066,0.83449,0.42736,0.50695,0.34502,1.20326,1.11509,1.12434,0.000427,0.000427,0.000427
34,801.162,1.0913,1.09786,1.11537,0.80393,0.43352,0.49493,0.3271,1.22736,1.10987,1.13159,0.000420812,0.000420812,0.000420812
35,824.575,1.1132,1.07449,1.10611,0.81847,0.44954,0.5058,0.33949,1.20572,1.11331,1.12997,0.000414625,0.000414625,0.000414625
36,847.957,1.09604,1.04222,1.10332,0.80806,0.45992,0.51585,0.35011,1.1832,1.08799,1.12583,0.000408438,0.000408438,0.000408438
37,871.216,1.08398,1.06217,1.10522,0.73544,0.46762,0.51686,0.34657,1.23004,1.13911,1.14096,0.00040225,0.00040225,0.00040225
38,894.62,1.10096,1.04945,1.09658,0.81428,0.43464,0.51657,0.34848,1.19556,1.12931,1.12595,0.000396063,0.000396063,0.000396063
